Country,Scale,Region,Mandatory policy,Marine Specific,marine included,Implicit_Explicit,Type, Focus,Name,Legislation,Year,Name of Legislation,Objective,Mechanism,Length,Stage,Confirmed,"
Goal",Source,Other/ Notes,
Antigua and Barbuda,National,North America,Yes,Yes,Yes,Explicit,Compensation,Seagrass/ mangroves,Coastal Zoning and Management Regulations,Legislation,2014,Coastal Zoning and Management Regulations,"Chapter 12 Seagrass and mangrove protection

(8) in issuing a permit under this section, the Council shall require the applicant to compensate fully for the value of the seagrass and mangroves lost, which compensation shall be used to restore or protect seagrass and coastal mangroves or equivalent habitat in perpetuity...","Environmental Protection and Management Act (2014) makes no mention of offsets, and mentions compensation in the wrong context. They do require EIAs for certain activities, but the biodiversity impacts are not considered. However, in the Coastal Zoning and Management Regulations, compensation is mentioned in the right context:

Chapter 12 Seagrass and mangrove protection

(8) in issuing a permit under this section, the Council shall require the applicant to compensate fully for the value of the seagrass and/or mangroves lost, which compensation shall be used to restore or protect seagrass and/or coastal mangroves or equivalent habitat in perpetuity...

this is interpreted to be a provision that would enable offset in the marine environment at least for projects that would impact seagrass and mangroves. Because the overarching EIA regime of Antigua and Barbuda does not mention the use of offset/compensation as means to mitigate impacts, the category given remains to be '2'. (GIBOP 2018)",,Preliminary,confirmed,to compensate fully for the value of the seagrass and mangroves lost,Global Inventory of Biodiversity Offset Policies (GIBOP),"Environmental Impact Statement Regulations (Chapter 2401-61) (1996).
""The draft environmental impact statement shall consider mitigation measures proposed to minimize impact. Description of any mitigation measures included in the action plan to reduce significant, unavoidable, adverse impacts to insignificant levels, and the basis for considering these levels acceptable shall be inculcated. Where a particular mitigation measure has been chosen from among several alternatives, the measures shall be discussed and reasons given for the choice made"".
Regulations promulgated by the Republic of Palau Environmental Quality Board (?the Board?). They give further meaning to provisions of the Environmental Quality Protection Act of Palau by providing agencies and persons with procedures, specifications of contents and other rules regarding the preparation, filling and distribution of environmental impact statements. ?Environmental impact?, ?environmental assessment? and ?environmental impact statement? are defined in regulation.

Compensation: 1

2401-61-12 Content Requirements; Draft EIS
(F) The draft EIS shall contain any known alternatives for the action. These alternatives which could feasibly attain the objectives of the action - even though more costly - shall be described and explained as to why they were rejected. A rigorous exploration and objective evaluation of the environmental impacts of all reasonable alternative actions, particularly those that might enhance environmental quality or avoid or reduce some or all of the adverse environmental benefits, costs, and risks shall be included in the review process in order not to prematurely foreclose options which might enhance environmental quality or have less detrimental effects. Examples of the alternatives include:
(4) Alternative measures to provide for compensation of fish and wildlife losses, and water quality and wetland losses including the acquisition of land, waters, and interests therein... GIBOP",
Argentina,National,South/Central America,Yes,No,Yes,Implicit,EIA,Biodiversity,"EIA, Environmental Compensation Fund
",Legislation,2002,"The obligation and procedure for undertaking an EIA is fixed under
Law no. 25,675, the Environmental Framework Law;  Also a National Biodiveristy strategy","In Argentina compensation and the creation of an environmental compensation fund are considered. Biodiveristy strategy - To reverse or to compensate the negative impacts of oil and gas, mining, hydroelectric etc. activities that affect biological diversity (Darbi et al. 2009).
","Doesn't explicityly require offset implementation for specific impacts (Villaroya et al 2014)

 In Articles 11, 12 and 13, the LGA establishes that ?any work or activity which, in the Argentine territory, is likely to significantly deface the
environment, any component thereof or affect the people?s quality of life, is subject to an Environmental Impact Assessment proceeding, prior to its execution? (The American Chamber of Commerce in Argentina 2007: 14).

Legislation for the execution of EIAs for projects with potential adverse effects on biodiversity has
been established, but does not yet extend to the level of plans, programmes or policies (SEA) (CBD
2007: 48). In National Parks, regulation requiring an EIA for all projects is in force (CBD 2007: 25).
Furthermore, various sectoral regulations (hydrocarbons, mining etc.) and regulations at provincial level exist (CBD 2007: 48). EIA procedures in Argentina are implemented at the provincial and municipal levels or are applied on a sector-by-sector basis 

Furthermore, the General Environmental Guide for Investment Projects requests the determination of a wide range of potential environmental impacts: positive and negative, direct and indirect, long-term and immediate, permanent and transitional, local and regional, reversible and irreversible etc.. (Darbi et al)",,Preliminary,confirmed,,"Villarroya et al. 2014; Madsen et al. 2010

Darbi et al. 2009. International Approaches to compensation for Impacts on Biological Diversity Final Report.

http://www.ecosystemmarketplace.com/marketwatch/biodiversity/latin-america/

https://www.thegef.org/sites/default/files/project_documents/11-15-11%2520Argentina%2520NBSAP%2520Final%2520Proposal.pdf
","Environmental Protection and Management Act (2014) makes no mention of offsets and mentions compensation in the wrong context. They do require EIAs for specific activities, but the biodiversity impacts are not considered. However, in the Coastal Zoning and Management Regulations, compensation is mentioned in the right context:

Chapter 12 Seagrass and mangrove protection

(8) in issuing a permit under this section, the Council shall require the applicant to compensate fully for the value of the seagrass and mangroves lost, which compensation shall be used to restore or protect seagrass and coastal mangroves or equivalent habitat in perpetuity...

This is interpreted to be a provision that would enable offset in the marine environment at least for projects that would impact seagrass and mangroves. Because the overarching EIA regime of Antigua and Barbuda does not mention the use of offset/compensation as means to mitigate impacts, the category given remains to be '2'.",
Australia,National,Pacific,Yes,No,Yes,Explicit,Offset,Biodiversity,Environmental Offsets Policy,Legislation,2012,"Environment Protection and
Biodiversity Conservation Act 1999
Environmental Offsets Policy",Suitable offsets must deliver an overall conservation outcome that improves or maintains the viability of the protected aspect of the environment ,"Minimum of 90% direct offsets, maximum of 10% other compensatory measures. Both components should correlate to the specific nature of the impact and its timeframe. Direct offsets ? must deliver a tangible & measurable on-ground conservation gain.Offsets are defined as measures that compensate for the residual adverse impacts of an action on the environment. Where appropriate, offsets are considered during the assessment phase of an environmental impact assessment under the EPBC Act. This policy relates to all matters protected under the EPBC Act (?protected matters?). These are:
? world heritage properties
? national heritage places
? wetlands of international importance (listed under the Ramsar Convention)
? listed threatened species and ecological communities
? migratory species protected under international agreements
? Commonwealth marine areas
? the Great Barrier Reef Marine Park
? the environment, where nuclear actions are involved;
? the environment, where actions proposed are on, or will affect Commonwealth land and the environment,the environment, where Commonwealth agencies are proposing to take an action.                     The term ?environmental offsets? refers to measures that compensate for the residual adverse impacts of an action on the environment. Offsets provide environmental benefits to counterbalance the impacts
that remain after avoidance and mitigation measures. These remaining, unavoidable impacts are termed ?residual impacts?.
For assessments under the EPBC Act, offsets are only required if residual impacts are significant. (Australian Government)
","Offsets should compensate for an impact for the full duration of the impact. Offsets that deliver an outcome prior to the impact commencing are encouraged, as they minimise effects on the protected matter resulting from offset time delays",Established,,Not stated,Madsen et al. 2010; Commonwealth of Australia. 2012. Environment Protection and Biodiversity Conservation Act 1999 Environmental Offsets Policy;  Ten Kate and Crowe 2014;,"Tier 2 indicates that some elements and encouraging initiatives are in place although regulatory additions are needed. Risks are present and should be mitigated prior to the implementation of a
banking scheme; otherwise these could have a critical impact on scheme development.

Argentina has a short history of environmental compensation laws through their Civil Code
(Article 1083) and EIA, but there is very little enforcement and regulation. Their EIA law (no.
25,675, written in 2002), the Environmental Framework Law (Ley General del Ambiente,
LGA), defines the standards and implementation practices for development projects that will
impact biodiversity, although it does not clearly call for offsets for those impacts.19
Developers must only submit an Environmental Impact Study, which is then rejected or approved. If
the project is approved, and it has been shown that restoration for environmental impacts
is not possible, the project must pay into the Environmental Compensation Fund (Fondo
de Compensaci¢n Ambiental) which is used to compensate for and prevent future losses to
biodiversity (i.e. establishing protected areas). The practical operation of this fund, however, is
unknown. An adaptation to the mitigation hierarchy is followed under the LGA (minimize, prevent
and mitigate, then restore), but real application is absent. One example cites a compensation
ratio of 5:1 (five trees planted for every one cut down), but there is not a consistent ratio across
the board, and compensation in practice is difficult to find.20 (Madsen et al. 2010).

EIA laws requiring mitigation/compensation measures (though not necessarily true offsets) are in place in Argentina, Belize, Uruguay, and Panama. Argentina and Costa Rica also maintain national-level compensation funds to channel compensation fees; similar funds exist in Peru at the provincial level (Ecosystem marketplace).

 In the past few years, there has been a wide proliferation of innovative biodiversity finance mechanisms, such as payments for ecosystem services, conservation trust funds, biodiversity offsets and bio-carbon funding, among many others. Argentina is still in the early stages of exploring these mechanisms. Through this proposal, specific efforts will be made to explore those mechanisms that can be successfully adopted in the country for medium and long term funding (thegef)",
Australia,State,Pacific,Yes,No,Yes,Explicit,Offset,Fish,NSW Policy and guidelines for fish habitat conservation and management,Framework,2013,"Fisheries NSW Policy and Guidelines for Fish Habitat Conservation and Management

This document builds on the 1993 publications entitled ?Estuarine Habitat Management Guidelines? and ?Freshwater
Habitat Management Guidelines? which were edited and compiled by Jenny Burchmore, David Pollard, Margaret
Middelton and Rob Willliams. Des Dunstan contributed significantly to the first edition in 1985. It also provides an
update on the 1999 version of this document, which was edited by Adam Smith and David Pollard.",,"There can also be significant cumulative impacts where several developments occur in close proximity to one another?.Comprehensive environmental assessment ? Impacts (including direct, indirect, on and off-site, short and long- term and cumulative impacts) of any works or activities on fish and key fish habitats are to be assessed in all development and planning procedures (NSW Fish policy)",,Established,,,,,
Australia,State,Pacific,Yes,No,No,Neither,Offset,species banking,BioBanking - Biodiversity Offsets Calculator,,,,,,,Implemented,,,,,
Australia,State,Pacific,Yes,No,No,Neither,Offset,Koala,"Supported Community
Infrastructure Koala Conservation
Policy
",,,,"Net gain in bushland koala habitat 
",,,Implemented,,,,,
Australia,State,Pacific,Yes,Yes,Yes,Explicit,Offset,Fish,QLD Marine Fish habitat offset policy,Framework,2012,"This policy sets the requirements of Fisheries Queensland, of the Department of Agriculture, Fisheries
and Forestry (DAFF), for environmental offset conditions to counterbalance permanent or temporary
impacts or loss on fisheries resources or fish habitat relevant to fisheries development approval (FDA)
decisions under the Fisheries Act 1994 (the Fisheries Act) and Sustainable Planning Act 2009 (the
Planning Act).",To counterbalance permanent or temporary impacts or loss on fisheries resources or fish habitat relevant to fisheries development approval,,,Established,,,,,
Australia,State,Pacific,Yes,Yes,Yes,Explicit,Offset,Biodiversity,State marine offset policy under development,Legislation,2014,Queensland Government Environmental Offsets Policy (2014),,,,In Progress,,,,,
Australia,State,Pacific,Yes,No,No,Neither,Offset,Vegetation,"Native Vegetation Permitted
Clearing Regulations
",,,,"No net loss in the contribution that native vegetation
makes to Victoria?s biodiversity",,,Implemented,,,,,
Australia,State,Pacific,Yes,No,Yes,Explicit,Offset,Biodiversity,Environmental Offsets Policy,Legislation,2011,WA Environmental Offsets Policy (2011),"Offsets will be used to compensate for
residual environmental impacts and be designed to achieve long-term outcomes,
building upon existing conservation programs and initiatives. ",,,Established,,,,,
