COUNTRY,STAGE,STAGE2,Presence_Absence,Mar_supraN,Mar_subN,Mar_Nat,Mar_org,marine_mech,marine_not,Focus,Richness,EEZ_Protected,mar_mam,mar_bird,mam_bird,Polity2,GDP,Rents,OHI
Albania,None,0,0,0,0,0,0,0,0,,0.300205936,0.027180028,0.000178581,0.000536,0.001339,9,11386931490,1.778799931,69.14
Algeria,None,0,0,0,0,0,0,0,0,,0.118142147,0.000855085,3.88E-05,0.000078,0.000163,2,1.66E+11,11.99024429,68.05
American Samoa,None,0,0,0,0,0,0,0,0,,0.345447714,0.087108422,2.46E-06,0.000027,0.000032,,661000000,0,83.38
Angola,None,0,0,0,0,0,0,0,0,,0.251594917,4.92E-05,1.42E-05,0.000022,0.000038,-2,1.16E+11,11.25141521,50.54
Anguilla,None,0,0,0,0,0,0,0,0,,0.415490533,0.000695062,2.16E-05,0.000022,0.000043,,,,69.5
Antigua and Barbuda,Preliminary,2,1,0,3,0,0,3,1,Seagrass_mangrove,0.415491,0.00191442,2.77E-05,0.000028,0.000055,,1359194737,0,68.04
Argentina,Preliminary,2,1,0,0,1,0,1,0,,0.158130347,0.040159512,7.39E-06,0.000018,0.000027,9,5.95E+11,1.183329508,70.19
Australia,Established,4,1,0,3,2,0,3,1,Fish,0.326500102,0.441459057,1.21E-06,0.000006,0.000007,10,1.35E+12,4.802733196,90.16
Azerbaijan,None,0,0,0,0,0,0,0,0,,0,0.004369111,0,0.000076,0.000076,-7,53074370486,13.36364745,
Bahamas ,Preliminary,2,1,0,0,2,0,2,1,Biodiversity,0.505550587,0.005656301,6.69E-06,0.000008,0.000015,,11792300000,0.020755262,71.79
Bahrain,None,0,0,0,0,0,0,0,0,,0.198677555,0.012420082,0.000393041,0.000524,0.001048,-10,31125851064,4.947812413,68.24
Bangladesh,None,0,0,0,0,0,0,0,0,,0.384162236,0.053569401,0.000118255,0.000095,0.000095,1,1.95E+11,1.025506313,57.53
Barbados,None,0,0,0,0,0,0,0,0,,0.430884072,5.84E-05,1.08E-05,0.000016,0.000027,,4584150000,0.050798227,58.53
Belgium,In Progress,3,1,1,0,0,0,1,0,,0.213704981,0.36648293,0.000865776,0.002597,0.003463,8,4.55E+11,0.018875943,76.73
Belize,In Progress,3,1,0,0,3,0,3,1,Biodiversity,0.467594317,0.100789522,5.52E-05,0.000055,0.00011,,1762500450,0.82158112,70.29
Benin,None,0,0,0,0,0,0,0,0,,0.110554892,0,0.000112622,0.000056,0.000169,7,8291155881,6.726689202,43.07
Bermuda,None,0,0,0,0,0,0,0,0,,0.362527,0.000328799,1.33E-05,0.000013,0.000027,,5573710000,,66.95
Netherlands Antilles,None,0,0,0,0,0,0,0,0,,0.450662,0.002194135,7.96E-05,0.000119,0.000239,,,,58.62
Bosnia and Herzegovina,None,0,0,0,0,0,0,0,0,,0.311744747,3.16E-05,4.54E-06,0.000018,0.000039,,16209702864,0.961052662,61
Bouvet Island,None,0,0,0,0,0,0,0,0,,0.213966,0.016848953,2.72E-07,0.000002,0.000002,,,,
Brazil,Established,4,1,0,0,2,0,2,1,Biodiversity,0.151202168,0.999262849,1.24E-05,0.000025,0.00004,8,1.80E+12,2.909391303,62.29
British Indian Ocean Territory,None,0,0,0,0,0,0,0,0,,0.369554,0.000560043,1.24E-05,0.000025,0.000037,,,,50.04
British Virgin Islands,None,0,0,0,0,0,0,0,0,,0.415490533,0.002011798,7.78E-05,0.000117,0.000195,,,,69.58
Brunei Darussalam,None,0,0,0,0,0,0,0,0,,0.585014037,0.081039125,0.000255886,0.000199,0.000455,,12930394938,8.544493731,84.87
